state,threshold,threshold_label,MAE,MSE,peak_timing_error,peak_magnitude_error
Oklahoma,0.75,3/4,1.0279488574395637,1.6150287353916561,1,2.525133301145269
Oregon,0.0,0,1.8457673888327963,9.845871574359185,4,9.35718745546904
Oregon,0.25,1/4,2.2078983458800345,11.827966168968674,3,9.113953237235847
Oregon,0.33,1/3,2.1767767768588295,8.09646297847082,0,7.999407785600129
Oregon,0.5,1/2,4.116725103724496,20.555686559807118,2,3.995620763575891
Oregon,0.67,2/3,4.116804966185312,20.556530570760298,2,3.995538167756332
Oregon,0.75,3/4,4.116807410659534,20.556556445846873,2,3.995535344118208
Pennsylvania,0.0,0,0.6791229102952577,1.2109798085595247,6,1.9427604179778175
Pennsylvania,0.25,1/4,1.0800934067038206,2.477020402441296,6,2.6677109572259763
Pennsylvania,0.33,1/3,1.3707329240406083,3.2434821798008415,6,2.8455780514892215
Pennsylvania,0.5,1/2,0.8751585297161663,2.12587860085173,6,2.4154050645338105
Pennsylvania,0.67,2/3,1.165515946778152,1.6424253925111192,5,1.9635537524189375
Pennsylvania,0.75,3/4,3.076114602686014,10.576319955779276,32,0.346291576591506
Puerto Rico,0.0,0,3.1118163235199083,13.759781120434452,9,3.8921657726283136
Puerto Rico,0.25,1/4,4.52189915418002,24.270068031732723,9,4.912842198788857
Puerto Rico,0.33,1/3,4.52189915418002,24.270068031732723,9,4.912842198788857
Puerto Rico,0.5,1/2,2.5458206996029107,9.238769430432983,4,3.2739261601027376
Puerto Rico,0.67,2/3,2.5458206996029107,9.238769430432983,4,3.2739261601027376
Puerto Rico,0.75,3/4,1.5131934958155104,4.866302606746256,3,2.751550882447555
Rhode Island,0.0,0,1.0875076928178402,3.007656261356901,6,3.9506175965955794
Rhode Island,0.25,1/4,2.6121565043028503,9.393588362180719,5,5.640324788430673
Rhode Island,0.33,1/3,1.240070368404611,3.802434425437994,4,5.099576581366682
Rhode Island,0.5,1/2,1.571425200024553,3.212039054703141,5,3.5851929358271897
Rhode Island,0.67,2/3,2.8936476710420767,9.443419887312475,5,1.7397819046308847
Rhode Island,0.75,3/4,3.8076735546089755,16.101811342327128,5,0.743090451180632
South Carolina,0.0,0,1.9048728347972563,11.403974712873397,5,7.917992421873061
South Carolina,0.25,1/4,4.3791718889419515,31.842817657538035,5,10.928688669030748
South Carolina,0.33,1/3,3.883124108106479,27.650886387441723,5,10.35051875902964
South Carolina,0.5,1/2,3.0065093229280295,13.904377018596035,2,10.254010630801849
South Carolina,0.67,2/3,7.502319888703474,59.853146470460786,0,5.0455344293969695
South Carolina,0.75,3/4,7.502319888703474,59.853146470460786,0,5.0455344293969695
South Dakota,0.0,0,0.4523903319789461,0.5056010284673567,5,1.3439132635191364
South Dakota,0.25,1/4,0.9138360722063967,1.4320034413051752,5,2.118072653120841
South Dakota,0.33,1/3,1.0181446545782518,1.6320810742031173,5,2.1661371767151856
South Dakota,0.5,1/2,0.8858895568519043,1.3754160661757255,5,2.0148339210341764
South Dakota,0.67,2/3,0.8293072472605728,0.786857941916836,2,1.6144920359288646
South Dakota,0.75,3/4,0.829307068232899,0.7868577075226598,2,1.6144923162973974
Tennessee,0.0,0,1.822880928405198,6.827472834850318,5,5.522107211496754
